Mean_Free_Path,Grain_Size_um,Sinter_Temp_C,pred_formation_energy,Binder_MagpieData mode Electronegativity,pred_magnetic_moment,pred_lattice_param,Binder_MagpieData mean NsValence,Composite_MagpieData mean GSmagmom,Binder_MagpieData range MeltingT,Binder_transition metal fraction,lattice_mismatch_wc,KIC_MPa_m,Binder_Vol_Pct
0.067235787,1,1500,0.410478503,1.91,0.593172431,3.631061316,1.784,0.060070289,1246.53,0.894,0.152611128,7.9,6.3
0.067235787,1,1550,0.410478503,1.91,0.593172431,3.631061316,1.784,0.060070289,1246.53,0.894,0.152611128,7.8,6.3
0.067235787,1,1600,0.410478503,1.91,0.593172431,3.631061316,1.784,0.060070289,1246.53,0.894,0.152611128,7.7,6.3
0.067235787,1,1650,0.410478503,1.91,0.593172431,3.631061316,1.784,0.060070289,1246.53,0.894,0.152611128,7.6,6.3
0.051524657,1,1400,0.384099931,1.91,1.358742833,3.630557775,1.767,0.050477126,1246.53,0.966,0.15272864,8.9,4.9
0.071922169,0.9,1440,0.386508435,1.91,1.46677959,3.543536186,1.758666667,0.078903438,452,1,0.173037063,9.7,7.4
0.074025894,0.9,1440,0.386508435,1.91,1.46677959,3.543536186,1.758666667,0.081035761,452,1,0.173037063,9.9,7.6
0.091765881,1.1,1440,0.386508435,1.91,1.46677959,3.543536186,1.758666667,0.082101922,452,1,0.173037063,8.7,7.7
0.094353861,1.1,1440,0.386508435,1.91,1.46677959,3.543536186,1.758666667,0.084234244,452,1,0.173037063,8.7,7.9
0.025640999,1,1500,0.65542233,1.91,-0.075781092,3.650575399,1.6,0.007284369,2832.95,0.888888889,0.148057083,5.7,2.5
0.025640999,1,1500,0.423665166,1.91,-0.261809438,3.651048183,1.614285714,0.007024474,2832.95,0.857142857,0.147946748,5.8,2.5
0.025640999,1,1500,0.406889617,1.91,-0.136286229,3.650815248,1.627586207,0.006782503,2832.95,0.827586207,0.148001109,5.8,2.5
0.025640999,1,1500,0.402232766,1.91,-0.066737816,3.651052237,1.64,0.006556664,2832.95,0.8,0.147945802,5.1,2.5
0.025640999,1,1500,0.401701361,1.91,-0.131655097,3.650592327,1.651612903,0.006345395,2832.95,0.774193548,0.148053133,5.7,2.5
0.025640999,1,1500,0.408594996,1.91,-0.028333452,3.650592327,1.6625,0.00614733,2832.95,0.75,0.148053133,5.8,2.5
0.246882485,1,1350,0.171565205,1.91,0.355206132,3.64323616,1.919,0.127602477,1246.53,0.886,0.113504131,21.6,19.8
0.246882485,1,1400,0.171565205,1.91,0.355206132,3.64323616,1.919,0.127602477,1246.53,0.886,0.113504131,21.2,19.8
0.246882485,1,1380,0.171565205,1.91,0.355206132,3.64323616,1.919,0.127602477,1246.53,0.886,0.113504131,21.1,19.8
0.246882485,1,1325,0.171565205,1.91,0.355206132,3.64323616,1.919,0.127602477,1246.53,0.886,0.113504131,20.2,19.8
0.246882485,1,1300,0.171565205,1.91,0.355206132,3.64323616,1.919,0.127602477,1246.53,0.886,0.113504131,19.4,19.8
0.077326877,0.4,1200,0.517163515,1.91,1.439261913,3.543355465,1.806,0.183498009,1168,1,0.13780775,10.5,16.2
0.170613166,0.4,1200,0.517163515,1.91,1.439261913,3.543355465,1.805597201,0.338509169,1168,1,0.13780775,9.4,29.9
0.102535719,1,1500,,2.16,,,1.571428571,0.045501541,2095,0.964285714,,9.7,9.3
