Ratio_MeltingT,Ceramic_MagpieData maximum GSmagmom,Binder_MagpieData minimum SpaceGroupNumber,Binder_MagpieData mean NsUnfilled,Binder_MagpieData maximum NdUnfilled,Binder_MagpieData mean NdValence,Binder_MagpieData mean Electronegativity,Ceramic_MagpieData maximum GSvolume_pa,Binder_Wt_Pct,Ceramic_Ta,Binder_Ti,Sinter_Temp_C,Ceramic_Wt_Pct,Grain_Size_um,"HV, kgf/mm2"
2.126131221,0,194,0,3,7,1.88,16.05,8.6,0,0,1400,91.4,10,1050
2.126131221,0,194,0,3,7,1.88,16.05,9.5,0,0,1400,90.5,10,1050
2.126131221,0,194,0,3,7,1.88,16.05,8,0,0,1400,92,30,1920
2.126131221,0,194,0,3,7,1.88,16.05,10,0,0,1480,90,40,1211
2.126131221,0,194,0,3,7,1.88,16.05,8,0,0,1450,92,30,1003
2.126131221,0,194,0,3,7,1.88,16.05,8,0,0,1450,92,30,1152
2.126131221,0,194,0,3,7,1.88,16.05,8,0,0,1490,92,30,1570
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,50,1138
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,50,1218
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,50,1423
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,50,1806
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,50,1775
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,50,1878
2.126131221,0,194,0,3,7,1.88,16.05,12,0,0,1400,88,50,1380
2.126131221,0,194,0,3,7,1.88,16.05,12,0,0,1400,88,50,1392
2.126131221,0,194,0,3,7,1.88,16.05,6.55,0,0,1390,93.45,30,1782
2.126131221,0,194,0,3,7,1.88,16.05,10.4,0,0,1390,89.6,30,1591
2.126131221,0,194,0,3,7,1.88,16.05,13.1,0,0,1390,86.9,30,1483
2.126131221,0,194,0,3,7,1.88,16.05,7.18,0,0,1390,92.82,30,1748
2.126131221,0,194,0,3,7,1.88,16.05,12.41,0,0,1390,87.59,30,1359
2.126131221,0,194,0,3,7,1.88,16.05,8.45,0,0,1390,91.55,30,1426
2.126131221,0,194,0,3,7,1.88,16.05,10.4,0,0,1390,89.6,30,1335
2.126131221,0,194,0,3,7,1.88,16.05,13.1,0,0,1390,86.9,30,1264
2.126131221,0,194,0,3,7,1.88,16.05,7.81,0,0,1390,92.19,30,1395
2.011595021,0,194,0,3,7,1.88,18.12,9,0.5,0,1450,91,30,925
2.126131221,0,194,0,3,7,1.88,16.05,15,0,0,1390,85,30,1030
2.126131221,0,194,0,3,7,1.88,16.05,10,0,0,1390,90,30,1290
2.126131221,0,194,0,3,7,1.88,16.05,10,0,0,1390,90,30,1463
2.126131221,0,194,0,3,7,1.88,16.05,7,0,0,1380,93,1,1456
2.126131221,0,194,0,3,7,1.88,16.05,7,0,0,1430,93,1,1447
2.126131221,0,194,0,3,7,1.88,16.05,7,0,0,1430,93,1,1435
2.126131221,0,194,0,3,7,1.88,16.05,7,0,0,1380,93,1,1363
